iter	Passed	Remaining
208	66320	251003
209	66665	250790
210	66951	250352
211	67342	250310
212	67680	250066
213	67939	249533
214	68245	249176
215	68596	248978
216	68893	248587
217	69223	248314
218	69554	248046
219	69852	247659
220	70106	247116
221	70415	246773
222	70722	246418
223	71032	246076
224	71398	245927
225	71745	245712
226	72102	245530
227	72444	245295
228	72740	244902
229	73024	244472
230	73357	244206
231	73680	243906
232	74038	243724
233	74432	243655
234	74752	243342
235	75065	243009
236	75376	242666
237	75748	242522
238	76037	242111
239	76332	241718
240	76620	241307
241	76960	241057
242	77266	240703
243	77580	240373
244	77864	239950
245	78173	239604
246	78395	238996
247	78717	238691
248	78919	238026
249	79266	237799
250	79604	237544
251	79920	237224
252	80158	236674
253	80544	236559
254	80836	236169
255	81107	235718
256	81340	235160
257	81504	234404
258	81677	233679
259	81866	233004
260	82047	232309
261	82189	231509
262	82369	230823
263	82549	230137
264	82730	229459
265	82910	228784
266	83064	228038
267	83259	227410
268	83426	226709
269	83615	226070
270	83791	225402
271	83973	224753
272	84137	224059
273	84317	223409
274	84490	222748
275	84687	222150
276	84800	221337
277	85003	220765
278	85184	220135
279	85367	219515
280	85537	218865
281	85728	218274
282	85905	217646
283	86093	217051
284	86281	216460
285	86525	216011
286	86718	215435
287	86907	214855
288	87079	214233
289	87234	213574
290	87383	212902
291	87552	212284
292	87721	211669
293	87913	211111
294	88092	210526
295	88257	209910
296	88447	209356
297	88607	208733
298	88776	208134
299	88927	207497
300	89133	206991
301	89356	206526
302	89545	205984
303	89744	205468
304	89918	204896
305	90097	204338
306	90252	203730
307	90426	203165
308	90585	202572
309	90746	201984
310	90924	201437
311	91097	200882
312	91266	200320
313	91410	199706
314	91605	199204
315	91744	198586
316	91915	198037
317	92104	197531
318	92264	196965
319	92447	196450
320	92556	195782
321	92736	195265
322	92916	194751
323	93110	194268
324	93302	193781
325	93460	193228
326	93651	192743
327	93858	192294
328	94046	191808
329	94220	191295
330	94402	190801
331	94575	190289
332	94763	189811
333	94949	189330
334	95115	188810
335	95255	188242
336	95406	187699
337	95569	187180
338	95756	186710
339	95927	186212
340	96112	185742
341	96254	185191
342	96418	184684
343	96616	184245
344	96787	183756
345	96950	183253
346	97134	182792
347	97314	182325
348	97492	181854
349	97678	181402
350	97860	180944
351	98051	180504
352	98235	180051
353	98405	179576
354	98608	179161
355	98769	178672
356	98929	178184
357	99116	177744
358	99286	177278
359	99454	176807
360	99639	176370
361	99814	175916
362	100011	175502
363	100198	175072
364	100380	174634
365	100555	174185
366	100745	173765
367	100923	173325
368	101120	172919
369	101303	172490
370	101498	172081
371	101651	171605
372	101762	171059
373	101966	170670
374	102127	170212
375	102293	169764
376	102453	169305
377	102615	168853
378	102733	168330
379	102907	167901
380	103098	167501
381	103278	167084
382	103485	166712
383	103666	166298
384	103850	165890
385	103998	165427
386	104164	164994
387	104336	164572
388	104498	164135
389	104692	163750
390	104875	163348
391	105063	162955
392	105260	162577
393	105408	162125
394	105600	161741
395	105750	161296
396	105887	160831
397	106061	160425
398	106224	160003
399	106402	159603
400	106586	159215
401	106774	158833
402	106949	158433
403	107144	158064
404	107329	157682
405	107518	157306
406	107695	156912
407	107890	156547
408	108068	156157
409	108257	155785
410	108428	155387
411	108596	154987
412	108753	154571
413	108933	154191
414	109097	153788
415	109290	153427
416	109475	153056
417	109611	152617
418	109783	152229
419	109962	151853
420	110166	151512
421	110353	151147
422	110553	150802
423	110702	150388
424	110855	149981
425	111045	149624
426	111250	149289
427	111443	148938
428	111586	148522
429	111760	148147
430	111924	147761
431	112036	147307
432	112215	146942
433	112397	146583
434	112527	146156
435	112696	145781
436	112939	145503
437	113115	145138
438	113312	144802
439	113508	144464
440	113698	144121
441	113879	143766
442	114042	143389
443	114180	142982
444	114349	142616
445	114511	142240
446	114681	141876
447	114881	141549
448	115027	141158
449	115197	140797
450	115382	140453
451	115573	140119
452	115779	139804
453	115931	139424
454	116089	139052
455	116273	138711
456	116454	138369
457	116575	137955
458	116750	137608
459	116934	137270
460	117120	136936
461	117305	136602
462	117472	136248
463	117648	135904
464	117838	135577
465	118025	135248
466	118177	134879
467	118332	134514
468	118493	134157
469	118668	133817
470	118841	133475
471	119030	133152
472	119221	132832
473	119417	132518
474	119599	132188
475	119789	131868
476	119988	131559
477	120157	131218
478	120335	130887
479	120514	130557
480	120673	130206
481	120841	129866
482	121003	129521
483	121194	129207
484	121381	128889
485	121562	128566
486	121720	128218
487	121922	127918
488	122068	127560
489	122242	127232
490	122461	126950
491	122621	126609
492	122773	126259
493	122963	125950
494	123146	125634
495	123285	125273
496	123488	124979
497	123651	124644
498	123795	124291
499	123972	123972
500	124159	123663
501	124350	123359
502	124524	123039
503	124676	122697
504	124854	122382
505	125128	122161
506	125312	121851
507	125510	121557
508	125689	121244
509	125838	120903
510	125996	120572
511	126173	120259
512	126358	119954
513	126517	119625
514	126689	119309
515	126869	119001
516	127071	118715
517	127260	118415
518	127460	118128
519	127658	117838
520	127840	117534
521	128022	117231
522	128193	116918
523	128361	116602
524	128518	116278
525	128691	115968
526	128874	115668
527	129061	115372
528	129266	115093
529	129445	114790
530	129642	114505
531	129811	114195
532	129958	113866
533	130152	113578
534	130354	113299
535	130508	112977
536	130681	112673
537	130866	112379
538	131050	112085
539	131223	111783
540	131384	111470
541	131548	111160
542	131710	110849
543	131914	110575
544	132072	110262
545	132255	109970
546	132419	109663
547	132555	109334
548	132752	109055
549	132923	108755
550	133068	108434
551	133266	108158
552	133449	107869
553	133599	107555
554	133782	107266
555	133973	106985
556	134173	106712
557	134372	106438
558	134552	106149
559	134729	105858
560	134891	105556
561	135088	105282
562	135277	105001
563	135481	104733
564	135662	104448
565	135820	104145
566	136001	103860
567	136165	103562
568	136332	103267
569	136537	103002
570	136727	102724
571	136921	102451
572	137087	102157
573	137257	101867
574	137427	101577
575	137563	101261
576	137743	100980
577	137920	100696
578	138119	100428
579	138323	100165
580	138492	99876
581	138656	99584
582	138813	99288
583	139028	99034
584	139196	98746
585	139345	98445
586	139496	98146
587	139664	97860
588	139835	97576
589	140007	97293
590	140193	97020
591	140369	96740
592	140547	96463
593	140652	96135
594	140822	95854
595	141020	95591
596	141214	95325
597	141379	95040
598	141499	94726
599	141725	94483
600	141925	94223
601	142101	93947
602	142285	93677
603	142446	93392
604	142617	93114
605	142792	92838
606	142977	92570
607	143139	92287
608	143324	92019
609	143462	91721
610	143635	91447
611	143802	91168
612	143973	90893
613	144126	90607
614	144299	90333
615	144461	90054
616	144650	89790
617	144819	89516
618	144973	89232
619	145157	88967
620	145324	88692
621	145522	88436
622	145686	88160
623	145797	87852
624	145971	87583
625	146164	87325
626	146346	87060
627	146505	86783
628	146682	86516
629	146843	86241
630	146981	85952
631	147186	85703
632	147357	85434
633	147515	85158
634	147678	84885
635	147862	84625
636	148044	84364
637	148229	84105
638	148435	83857
639	148601	83588
640	148790	83331
641	148942	83055
642	149170	82821
643	149341	82555
644	149488	82276
645	149682	82023
646	149818	81740
647	150011	81487
648	150197	81231
649	150366	80966
650	150535	80701
651	150718	80444
652	150927	80201
653	151121	79951
654	151305	79695
655	151473	79431
656	151642	79167
657	151832	78916
658	152034	78670
659	152239	78426
660	152424	78172
661	152597	77912
662	152785	77660
663	152976	77409
664	153170	77161
665	153382	76921
666	153602	76686
667	153791	76435
668	153978	76183
669	154137	75918
670	154310	75660
671	154486	75404
672	154638	75136
673	154800	74873
674	154967	74614
675	155154	74363
676	155300	74094
677	155444	73824
678	155622	73571
679	155770	73303
680	155960	73056
681	156147	72807
682	156350	72566
683	156524	72312
684	156716	72066
685	156900	71817
686	157082	71567
687	157235	71304
688	157387	71041
689	157545	70781
690	157732	70534
691	157894	70276
692	158002	69995
693	158193	69751
694	158390	69509
695	158557	69254
696	158725	69001
697	158925	68761
698	159132	68524
699	159300	68271
700	159463	68016
701	159655	67773
702	159840	67528
703	160005	67274
704	160153	67014
705	160314	66759
706	160485	66509
707	160663	66262
708	160848	66018
709	161048	65780
710	161191	65519
711	161377	65276
712	161496	65006
713	161687	64765
714	161859	64517
715	162002	64258
716	162152	64001
717	162318	63751
718	162489	63504
719	162665	63258
720	162841	63013
721	163039	62777
722	163198	62525
723	163391	62287
724	163565	62042
725	163773	61809
726	163966	61571
727	164148	61330
728	164336	61090
729	164495	60840
730	164637	60584
731	164816	60342
732	164948	60083
733	165084	59826
734	165241	59576
735	165383	59322
736	165586	59089
737	165775	58852
738	165954	58611
739	166123	58367
740	166302	58127
741	166496	57892
742	166679	57653
743	166858	57413
744	167036	57173
745	167219	56935
746	167390	56693
747	167569	56453
748	167748	56214
749	167922	55974
750	168067	55724
751	168251	55487
752	168453	55256
753	168619	55013
754	168810	54779
755	168977	54537
756	169168	54303
757	169342	54064
758	169530	53829
759	169712	53593
760	169854	53344
761	170044	53111
762	170227	52875
763	170425	52644
764	170572	52398
765	170744	52159
766	170957	51933
767	171128	51694
768	171306	51458
769	171499	51227
770	171678	50991
771	171859	50756
772	172040	50521
773	172203	50281
774	172382	50046
775	172557	49810
776	172753	49580
777	172963	49354
778	173132	49117
779	173326	48887
780	173499	48650
781	173665	48413
782	173875	48187
783	174037	47949
784	174253	47725
785	174440	47494
786	174621	47261
787	174787	47024
788	174977	46793
789	175159	46561
790	175336	46327
791	175525	46097
792	175721	45869
793	175878	45631
794	176065	45400
795	176251	45169
796	176409	44932
797	176592	44701
798	176771	44469
799	176982	44245
800	177164	44014
801	177322	43777
802	177473	43539
803	177630	43302
804	177793	43068
805	177956	42833
806	178118	42598
807	178311	42371
808	178491	42140
809	178681	41912
810	178865	41683
811	179037	41452
812	179197	41217
813	179378	40988
814	179556	40758
815	179704	40521
816	179897	40295
817	180089	40068
818	180273	39840
819	180440	39608
820	180592	39373
821	180795	39150
822	180996	38926
823	181199	38702
824	181370	38472
825	181556	38245
826	181666	38002
827	181805	37766
828	181927	37526
829	182124	37302
830	182256	37065
831	182446	36840
832	182621	36612
833	182768	36378
834	182957	36153
835	183128	35924
836	183334	35703
837	183470	35468
838	183639	35239
839	183789	35007
840	183930	34774
841	184114	34548
842	184267	34317
843	184438	34090
844	184600	33861
845	184790	33637
846	184985	33415
847	185170	33191
848	185348	32965
849	185512	32737
850	185702	32514
851	185871	32287
852	186069	32065
853	186252	31841
854	186423	31615
855	186597	31390
856	186760	31163
857	186953	30941
858	187096	30710
859	187284	30488
860	187462	30264
861	187643	30040
862	187815	29815
863	187973	29588
864	188111	29358
865	188282	29133
866	188451	28908
867	188631	28685
868	188780	28458
869	188976	28237
870	189125	28010
871	189315	27789
872	189484	27565
873	189640	27339
874	189814	27116
875	190025	26898
876	190149	26668
877	190321	26445
878	190495	26222
879	190669	26000
880	190820	25774
881	190995	25552
882	191244	25340
883	191449	25122
884	191633	24901
885	191821	24681
886	191997	24459
887	192211	24242
888	192417	24025
889	192583	23802
890	192723	23576
891	192930	23359
892	193128	23140
893	193286	22917
894	193449	22695
895	193638	22475
896	193790	22252
897	193943	22029
898	194141	21811
899	194321	21591
900	194515	21372
901	194694	21153
902	194857	20931
903	195049	20713
904	195244	20495
905	195431	20276
906	195606	20056
907	195778	19836
908	195947	19616
909	196085	19393
910	196282	19175
911	196466	18957
912	196650	18738
913	196835	18520
914	197000	18300
915	197205	18084
916	197351	17862
917	197536	17644
918	197714	17426
919	197909	17209
920	198090	16991
921	198267	16773
922	198441	16554
923	198607	16335
924	198749	16114
925	198958	15899
926	199151	15682
927	199304	15463
928	199494	15246
929	199666	15028
930	199856	14812
931	200043	14595
932	200243	14379
933	200422	14162
934	200605	13945
935	200762	13727
936	200932	13509
937	201090	13291
938	201247	13073
939	201422	12856
940	201614	12641
941	201827	12426
942	202010	12210
943	202206	11995
944	202390	11779
945	202596	11564
946	202779	11348
947	202954	11132
948	203128	10916
949	203319	10701
950	203509	10485
951	203673	10269
952	203867	10054
953	204046	9838
954	204222	9623
955	204415	9408
956	204591	9192
957	204773	8977
958	204962	8762
959	205158	8548
960	205344	8333
961	205517	8118
962	205697	7903
963	205897	7689
964	206081	7474
965	206265	7259
966	206477	7046
967	206652	6831
968	206859	6617
969	207049	6403
970	207213	6188
971	207423	5975
972	207577	5760
973	207775	5546
974	207912	5331
975	208077	5116
976	208254	4902
977	208419	4688
978	208581	4474
979	208770	4260
980	208909	4046
981	209095	3832
982	209274	3619
983	209422	3405
984	209588	3191
985	209772	2978
986	209965	2765
987	210147	2552
988	210333	2339
989	210513	2126
990	210666	1913
991	210855	1700
992	211039	1487
993	211194	1274
994	211377	1062
995	211564	849
996	211760	637
997	211939	424
998	212107	212
999	212308	0
