iter	MAPE
350	0.468274722
351	0.4682584299
352	0.4682365569
353	0.4681628116
354	0.4681376469
355	0.4680108064
356	0.4677910835
357	0.4676883146
358	0.4676775862
359	0.4676119049
360	0.4676098132
361	0.4675558699
362	0.4671625176
363	0.4671361206
364	0.4671177613
365	0.4669921957
366	0.4669889717
367	0.4668966017
368	0.4668935588
369	0.4668265722
370	0.4666507069
371	0.4665321696
372	0.466455655
373	0.4664353378
374	0.4664348055
375	0.4664341034
376	0.466430608
377	0.4664174177
378	0.4661625419
379	0.4661618385
380	0.4656926804
381	0.4656020041
382	0.4654083153
383	0.4653873838
384	0.4653054825
385	0.4652993015
386	0.4651712054
387	0.4651694068
388	0.4651432591
389	0.4651238823
390	0.4650909407
391	0.4650895118
392	0.4649070603
393	0.4649066028
394	0.4647467412
395	0.4645649881
396	0.4645580694
397	0.4645435478
398	0.4645376379
399	0.4645035969
400	0.4644994785
401	0.4644678849
402	0.4644500597
403	0.4644371485
404	0.4643283995
405	0.4642752348
406	0.4642303992
407	0.4642196953
408	0.4641604955
409	0.4641592325
410	0.464128366
411	0.4639498489
412	0.4639478535
413	0.4639465017
